frame,class_id,conf,x1,y1,x2,y2
16, 17, 0.32, 0.391721, 0.379341, 0.570874, 0.523130
16, 12, 0.47, 0.490025, 0.491244, 1.490025, 1.491244
16, 3, 0.40, 0.692891, 0.308410, 0.765399, 0.435304
17, 6, 0.31, 0.119894, 0.499891, 0.369564, 0.759924
17, 17, 0.49, 0.396095, 0.384959, 0.549190, 0.523692
17, 12, 0.54, 0.487794, 0.492986, 1.487794, 1.492986
17, 12, 0.30, 0.699409, 0.449138, 1.221716, 1.400277
17, 3, 0.35, 0.886611, 0.590088, 1.093159, 0.928006
17, 3, 0.34, 0.692040, 0.309877, 0.761413, 0.428261
18, 17, 0.52, 0.128276, 0.497516, 0.374685, 0.801452
18, 6, 0.39, 0.127676, 0.497270, 0.417145, 0.757214
18, 17, 0.39, 0.391253, 0.384560, 0.561226, 0.510516
18, 12, 0.46, 0.490318, 0.492260, 1.490318, 1.492260
18, 12, 0.25, 0.698963, 0.448525, 1.236676, 1.368429
18, 3, 0.37, 0.688882, 0.310347, 0.756671, 0.424498
18, 3, 0.32, 0.884340, 0.595225, 1.088457, 0.952735
18, 3, 0.31, 0.114991, 0.342569, 0.280033, 0.445112
19, 17, 0.51, 0.121163, 0.498663, 0.364625, 0.804700
19, 6, 0.38, 0.119757, 0.498346, 0.404560, 0.770707
19, 17, 0.34, 0.385220, 0.387642, 0.565921, 0.516412
19, 12, 0.47, 0.490685, 0.492198, 1.490685, 1.492198
19, 3, 0.44, 0.667164, 0.311575, 0.776654, 0.423103
19, 3, 0.36, 0.879549, 0.605435, 1.080823, 0.986629
19, 3, 0.25, 0.584214, 0.323149, 0.636768, 0.427672
20, 17, 0.38, 0.385882, 0.390033, 0.565977, 0.510904
20, 17, 0.33, 0.116380, 0.501771, 0.351889, 0.815699
20, 6, 0.27, 0.114983, 0.501319, 0.389408, 0.788198
20, 12, 0.35, 0.493731, 0.494852, 1.493731, 1.494852
20, 3, 0.39, 0.096984, 0.342330, 0.256876, 0.440832
20, 3, 0.32, 0.663428, 0.312281, 0.770208, 0.419113
20, 3, 0.26, 0.876525, 0.604278, 1.090867, 0.982592
21, 17, 0.36, 0.379839, 0.389772, 0.557605, 0.519554
21, 17, 0.31, 0.113007, 0.499662, 0.342309, 0.836531
21, 6, 0.26, 0.111438, 0.499500, 0.376189, 0.808709
21, 6, 0.36, 0.761136, 0.817303, 1.199981, 1.203216
21, 12, 0.48, 0.494940, 0.493638, 1.487831, 1.493638
21, 3, 0.31, 0.091757, 0.341862, 0.240229, 0.439824
22, 17, 0.35, 0.113537, 0.498033, 0.354312, 0.822644
22, 17, 0.34, 0.376984, 0.390177, 0.551098, 0.506234
22, 6, 0.31, 0.111995, 0.498174, 0.393007, 0.796671
22, 12, 0.52, 0.495147, 0.492486, 1.495147, 1.492486
22, 6, 0.39, 0.762031, 0.816789, 1.194898, 1.217643
22, 3, 0.34, 0.649224, 0.320727, 0.752080, 0.435991
22, 3, 0.26, 0.075305, 0.349516, 0.207852, 0.452295
23, 17, 0.37, 0.115046, 0.496254, 0.346998, 0.805745
23, 6, 0.30, 0.112993, 0.496427, 0.384818, 0.776463
23, 17, 0.26, 0.376904, 0.387362, 0.527491, 0.517993
23, 12, 0.52, 0.493367, 0.490887, 1.469099, 1.490888
23, 3, 0.40, 0.648761, 0.323409, 0.751557, 0.437509
23, 3, 0.29, 0.876643, 0.615600, 1.097838, 1.001643
24, 6, 0.29, 0.098184, 0.497605, 0.314487, 0.749853
24, 17, 0.32, 0.352833, 0.385859, 0.561670, 0.547403
24, 12, 0.43, 0.494282, 0.490127, 1.494282, 1.490127
24, 3, 0.46, 0.883745, 0.619302, 1.114863, 0.977165
24, 3, 0.32, 0.661850, 0.322260, 0.727291, 0.439267
25, 6, 0.33, 0.096759, 0.499637, 0.313386, 0.753149
25, 17, 0.38, 0.346038, 0.386320, 0.574072, 0.549344
25, 12, 0.40, 0.494801, 0.489544, 1.494801, 1.489544
25, 3, 0.53, 0.881404, 0.620089, 1.118401, 0.988186
25, 3, 0.52, 0.646311, 0.325086, 0.751624, 0.437443
25, 3, 0.25, 0.581153, 0.334532, 0.602033, 0.428292
26, 6, 0.34, 0.099013, 0.498095, 0.322146, 0.757230
26, 6, 0.27, 0.347767, 0.386902, 0.576856, 0.550603
26, 12, 0.44, 0.495317, 0.546470, 1.495317, 1.546469
26, 3, 0.58, 0.650457, 0.327021, 0.739164, 0.446571
27, 6, 0.39, 0.094343, 0.506038, 0.313386, 0.774263
27, 6, 0.25, 0.347505, 0.386823, 0.566623, 0.545375
27, 12, 0.46, 0.495513, 0.546213, 1.464523, 1.546213
27, 3, 0.50, 0.653588, 0.327387, 0.730781, 0.444569
27, 3, 0.27, 0.109571, 0.347914, 0.176871, 0.458059
28, 6, 0.37, 0.092909, 0.504752, 0.314267, 0.771991
28, 17, 0.38, 0.341014, 0.385298, 0.564923, 0.551453
28, 12, 0.49, 0.493033, 0.544989, 1.493033, 1.544989
28, 3, 0.49, 0.650103, 0.328767, 0.734032, 0.445650
29, 6, 0.40, 0.090520, 0.506636, 0.309427, 0.774120
29, 6, 0.26, 0.341598, 0.387800, 0.568708, 0.554518
29, 12, 0.47, 0.494388, 0.545582, 1.494388, 1.545582
29, 3, 0.61, 0.639684, 0.330035, 0.746916, 0.444592
30, 6, 0.41, 0.089068, 0.507607, 0.303968, 0.769921
30, 17, 0.35, 0.334721, 0.387799, 0.563656, 0.552910
30, 12, 0.45, 0.493814, 0.546598, 1.493814, 1.546598
30, 3, 0.58, 0.638616, 0.329470, 0.742420, 0.443849
31, 6, 0.35, 0.085921, 0.508722, 0.291361, 0.771957
31, 17, 0.31, 0.339691, 0.391102, 0.526368, 0.563973
31, 12, 0.51, 0.491721, 0.547045, 1.479322, 1.547045
